,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Afghanistan,223736.5748,235730.9772,267176.8892,277497.5992,334620.7752,362857.4928,386367.6549,440336.019,465358.2229,477909.0387,482628.8116,493073.3608,506215.1142,519882.9223,...
1,Algeria,5285319.186,5374349.77,5555619.878,5686740,5779561.463,5988556.441,6157618.348,6366418.969,6544678.7,6793376.491,7044731.421,7270162.827,7364674.944,7467780.393,...
2,Angola,874608.4881,975605.5053,1112289.075,1236487.461,1247103.535,1307703.034,1353106.24,1468690.569,1541458.172,1615796.927,1631043.193,1588960.693,1586577.252,1567538.325,...
3,Anguilla,637.77,765.39,869.88,858.21,699.7,667.8,691.26,651.39,647.1,679.89,701.29,683.89,638.46,708.07,...
4,Antigua and Barbuda,2771.000002,3123.914691,3413.302372,3412.387726,2999.132407,2783.318194,2725.234825,2820.476549,2817.853392,2898.36,3009.2,3174.66,3274.51,3516.47,...
5,Argentina,528055.9425,570549.4042,621942.5027,647176.1598,608872.8764,670523.6795,710781.5972,703485.9895,720407.1053,702306.046,721487.1466,706477.8486,725330.8485,707329.6423,...
6,Armenia,2172495.6,2538896.4,3021394.7,3368084.7,3063323.8,3211242,3621128.5,4048644.9,4405450.9,4721560.7,4984858.2,5053172.3,...,...,...
7,Aruba,3505.784391,3542.632506,3614.701008,3620.230629,3209.917621,3102.732565,3211.482114,3167.537305,3299.459912,3329.283084,3314.378437,3310.270495,3351.273756,...,...
8,Azerbaijan,12522.7,16838.8,21126.5,23364.1,25553.2,26776.9,26355.7,26936.3,28510.3,29307.9,29615.5,28708.2,28752.3,29031.4,...
9,Bahamas,10457.52386,10720.72405,10875.79629,10623.05358,10179.50554,10336.15245,10399.503,10720.5,10404.03818,10480.66525,10543.2958,10590.3456,10597.41352,10763.33946,...
10,Bahrain,7377.296104,7854.39,8505.83,9036.75,9266.33,9668.19,9859.96,10227.56,10781.53,11250.65,11572.75,11973.37,12422.77,...,...
11,Bangladesh,4673431270,4993600000,5319100000,5612465000,5910765000,6267195000,6674175000,7091945000,7520160000,7994990000,8542005000,9157190000,9851685000,10633355200,...
12,Barbados,8981.95782,9491.108263,9700.094129,9767.76824,9271.974359,9059.857038,8998.900766,8958.437479,8831.998031,8820.833954,9036.63398,9261.224493,9305.448856,9251.197146,...
13,Belarus,51360.20057,56495.18659,61380.47055,67670.94683,67781.59443,73028.4334,77076.91487,78411.41781,79214.33882,80579.27,77493.43,75535.6,77448.3,79887.3,...
14,Belize,2156.1,2254.8,2279.7,2353.4,2372.1,2450.7,2502.3,2596.1,2613.957592,2719.70009,2822.912502,2809.158262,2830.365101,...,...
15,Benin,4453159.616,4628781.371,4905875.512,5146095.968,5265449.319,5376763.563,5536117.854,5802472.807,6219753.627,6615185.529,6732814,6957668,7352276.451,7844677.052,...
16,Bhutan,27919.262,29868.37981,33623.12841,37238.41474,39369.25577,43041.28447,47224.71346,50260.25003,52054.77986,54117.69092,57463.97416,61668.22234,66220.8337,...,...
17,Bolivia,26030.23979,27278.91267,28524.02712,30277.82631,31294.25276,32585.67979,34281.46867,36037.46003,38486.56986,40588.15583,42559.59855,44374.306,46235.89983,...,...
18,Bosnia and Herzegovina,21441.704,22661.99,24016.984,25360.408,25153.50203,25346.49211,25576.69963,25338.02307,25944.66249,26225.35102,27016.28814,27553.28223,...,...,...
19,Botswana,54544.7,59106.8,64001,67996.11379,62792.77115,68170.14625,72293.30435,75514.80012,84080.74334,87569.47243,86082.59909,89787.36902,92397.96529,96512.98818,...
20,Brazil,905575,941453.8,998598.8,1049469.4,1048149.1,1127056,1171850.1,1194363.3,1230251.8,1236451.7,1192610,1151313.3,...,...,...
21,Brunei Darussalam,18097.56892,18896.03475,18918.73634,18544.32448,18207.0107,18689.78289,19389.60431,19566.65764,19150.90859,18670.6254,18594.97057,18136.53754,18377.28373,18387.1,...
22,Burkina Faso,2573400,2727400,2846631.273,3011735.652,3100941.782,3362856.057,3585709.908,3817084.021,4038234.163,4212919,4376992.116,4637231.944,4930151.587,5266424.046,...
23,Burundi,1208244,1273656,1317622,1381681,1434361,1507860,1568666,1638420,1735815.84,1813827.828,1742069.447,1723917.496,1723943.121,1726509.109,...
24,Cabo Verde,102346.6557,111678.8854,121973.7248,130085.6124,128432.971,130316.8131,135488.9393,136954.8189,138054.2889,138898.0942,140296.6087,146898.6746,152336.9211,160071.9057,...
25,Cambodia,22009105.67,24379725.16,26869522.61,28667517.53,28692371.4,30403320.05,32587040.17,34951088.11,37552470.24,40206314.03,43009273.32,45999748.69,49151250.99,...,...
26,Cameroon,9464932,9792198,10272231.3,10630609,10864340.38,11236173.26,11700146,12231714.64,12892749,13651366,14422868,15093312.36,15628987.19,...,...
27,Central African Republic,705415.4689,739072,773125.2005,789006.1706,802492.0295,826941.2079,854236.3847,889369.0447,562970.6053,568825.702,596129.3357,623141.3097,650115.6621,...,...
28,Chad,3518122,3540926,3656770.236,3768781.794,3924756.725,4458427.863,4463763.352,4856896.033,5136330.002,5490376.196,5587528.532,5228189.67,5063854.171,...,...
29,Chile,81742968.6,86397687.67,90856521.59,93847932.01,92875262.22,98219034.45,103954673,109627615.3,...,...,...,...,...,...,...
30,China,28015429.08,31579284.99,36080355.63,39562273.4,43281644.96,47853467.81,52399547.25,56539111.48,60949162.18,65398451.02,69910944.14,74619015.97,79660951.69,84892627.26,...
31,Colombia,340156000,362938000,387983000,401744000,407577000,425060000,...,...,...,...,...,...,...,...,...
32,Comoros,288628.1281,283349.7197,285627,296951,306574.412,318156.0782,331338.8966,341837.0709,357104.3599,364627.326,368810.8804,378410.3916,389580,401095,...
33,Democratic Republic of Congo,5670065,5971768,6345569.49,6740637.937,6933087.465,7425889.698,7936395.176,8498839.482,9219707.361,10092840.21,10790879.99,11049794.11,11461614.16,12128170.9,...
34,Republic of Congo,1071200,1138000,1119994.305,1182403.347,1275168.552,1386283.564,1433327.019,1488208.445,1536899.262,1642064.948,1685073.823,1637400,1608382.858,1633959.848,...
35,Costa Rica,16946668.74,18173223.33,19657593.34,20571592.46,20371935.21,21380725.71,22301615.3,23371405.92,23901709.53,24779630.08,25945972.77,27069118.93,...,...,...
36,Côte d'Ivoire,10480531.22,10639399.55,10827188.87,11102507.12,11463500,11694792,11126736.41,12335548.12,13479293.08,14664672.54,15961449.81,17233856.04,18561223.11,19940892.01,...
37,Djibouti,249359.8594,261391.5296,274504.3811,290441.0368,295135.5362,307376.1762,329792.0591,345761.2188,363051.509,388688.5483,418520.6668,447476.3733,470194.2997,496054.9862,...
38,Dominica,1006.7723,1053.6754,1120.6234,1200.4201,1186.3781,1194.357,1191.6855,1179.0681,1171.903,1223.3366,1192.1354,1222.2016,1105.7208,1111.6114,...
39,Dominican Republic,1243632.77,1357728.061,...,...,...,1645841.252,1696893.886,1744303.581,1827019.576,1966036.853,2104464.254,2244312.221,...,...,...
40,Ecuador,47809.319,49914.615,51007.777,54250.408,54557.732,56481.055,60925.064,64362.433,67546.128,70105.362,70174.677,69314.066,70955.691,71932.841,...
41,Egypt,1180093.946,1260857.667,1350225.082,1446851.018,1514471.044,1592424.425,1620523.9,1656600,1711300,1761200,1838200,1918100,1996300,2102385.798,...
42,El Salvador,14698.00142,15336.32026,15621.66463,15953.97263,15621.58848,15950.6124,16558.62025,17024.59211,17428.95929,17773.92312,18196.52108,18666.09641,19099.63465,...,...
43,Equatorial Guinea,4951917.763,5274146,6080146.857,7162359,7258575,6610808,7042092,7627490,7312232.179,7342582.399,6673670.018,6085264.549,5798797.099,5466618.804,...
44,Eritrea,25098.22998,24854.97383,25209.61,20309.91,22783.51,25256.1,31749.4,32348.2,28965.8,37926.2,30105.3,32330.4,29220.4,32781.2,...
45,Eswatini,29097.26559,30840.82227,32208.72863,32473.37612,32981.60035,34232.84136,35002.13205,36889.20522,38313.96662,38663.84841,39557.93664,40059.64856,40870.84156,41831.71906,...
46,Ethiopia,491063.2897,547535.568,612144.7651,680704.9788,748775.4766,828145.6771,922554.2843,1002816.507,1102095.341,1215611.161,1342034.722,1449397.5,1596481.6,1719491.3,...
47,Fiji,7682.836417,7828.810309,7758.351017,7835.934527,7726.231443,7958.018387,8172.884883,8288.229939,8680.613006,9167.032442,9594.565219,9835.4,10369,10734.6,...
48,Gabon,3760757.023,3688998.049,3922614.711,3990574.424,3899623.455,4144145.857,4438038.459,4671083.272,4928786.666,5147392.293,5347035.073,5458352.852,5482995.234,...,...
49,Gambia,40431.35189,40206.72303,41430.31389,44022.15522,46956.55069,49730.90142,45687.55819,48082.30322,49463.59658,48767.45457,50746.47389,51732.66042,54227.52551,57777.81597,...
50,Georgia,16060.84727,17573.89805,19784.48006,20262.88922,19523.27334,20743.36425,22241.35112,23653.78413,24454.94823,25585.58156,26322.52788,27072.44969,28380.9236,...,...
51,Ghana,65300.4485,69192.3264,71965.84049,78625.19925,82946.77223,89534.75853,105120.104,114560.705,123650.0096,127232.693,130004.0841,134486.3558,145438.1803,154547.6727,...
52,Grenada,1964.945776,1886.491771,2002.010189,2020.993553,1887.332881,1877.683572,1892.041645,1870.185854,1914.161729,2054.7,2187.13,2268.92,2369.63,2470.286016,...
53,Guatemala,166721.9,175691.2,186766.9,192894.8,193909.6,199473.7,207776,213946.7,221857.5,231118.2,240686.6,248129.8,254979,...,...
54,Guinea,33637171.14,34477000,36722000,38243000,37655000,39243500,41446600,43898300,45625100,47317000,49121000,54440000,59910216.51,63365741.15,...
55,Guinea-Bissau,309516,316663.7,326996.2,337472.3,348841.4,364925.79,394430.1398,387674.0126,400296.9729,404157.9172,428949.0408,455814.2124,482830.916,501178.4908,...
56,Guyana,277725.5239,291964.2812,312461.014,318636.8138,329211.4305,343600.962,364130.8544,378952.6196,384857.8172,407361.6002,425782.6297,440969.0157,459641.0875,478662.1041,...
57,Haiti,12783.47136,13071,13508,13622,14042,13270,14003,14407,15018,15439,15626,15853,16039,16277,...
58,Honduras,133886.1,142678.4,151507.6,157919.4,154078.8,159828,165958.3,172810.3,177634.3,183066.6,190096.4,197229.2,206667.1,...,...
59,India,54952315.19,60043163.53,65928230.73,68493428.95,74301571.23,81924893.67,87363300,92130200,98013700,105369800,113810000,121898500,131798580.2,140775860.5,...
60,Indonesia,...,...,...,6162847000,6452609800,6864133100,7287635300,7727083400,8156497800,8564866600,8982517100,9434613400,9912703600,10425316300,...
61,Iran,5199769442,5476337428,5844885233,5840480508,5840800393,6175274157,6364368558,5873423486,5854329027,6042535012,5946680443,6691109200,6940833600,6604552992,...
62,Iraq,103551403.4,109389941.3,111455813.4,120626517.1,124702847.9,132687028.6,142700217,162587533.1,174990175,176282471.1,180754015.7,204364306.7,200160572.5,...,...
63,Jamaica,735020,756329,767251,760975,735097,724541,734832,731141,732661,736856,743121,754301,759265,771688.6177,...
64,Jordan,17926.36447,19066.51937,20625.34429,22117.05348,23328.31199,23867.47189,24485.00401,25133.89343,25844.83956,26645.43277,27272.31148,27829.64185,28418.40504,28969.76769,...
65,Kazakhstan,10659103.14,11799627.18,12849794,13273837.2,13433123.25,14413741.25,15480358.1,16223415.29,17196820.2,17919086.65,18134115.69,18333590.96,19085268.19,19867764.19,...
66,Kenya,2445134.206,2588279.162,2765595.786,2772018.987,2863688,3104303.434,3294025.96,3444343.481,3646821.509,3842186.537,4061901.567,4300699.001,4509822.23,4794833.27,...
67,Kiribati,146.4642442,146.3919688,149.371096,146.2467818,147.4210878,146.0588169,148.387717,155.2874261,161.9307307,160.9513444,177.5228515,179.5470563,185.1180897,...,...
68,Republic of Korea,1155129700,1215939500,1286458500,1325219300,1335724300,1426618000,1479198400,1514736600,1562673600,1612717500,1658020400,1706880300,1760811500,1807735900,...
69,Kuwait,31220.98222,33568.87784,35580.21131,36462.54501,33882.41783,33079.2,36695.05046,39579.55556,39723.9287,39970.74805,39569.58212,40697.3,38779.6,39262.8,...
70,Kyrgyz Republic,100899.2,104030,112917.1526,121460.719,124966.4332,124377.1332,131785.3764,131669.2073,146041.5195,151918.2866,157806.3742,164648.6312,172452.873,178418.3869,...
71,Laos,47705194.79,51976501.39,56057405.12,60442394.01,64898804.35,70102553.09,75701258.66,81609860.36,88160112.76,94870828.32,101767550.2,108914778.8,116356000,123696000,...
72,Lesotho,15562.99536,16250.46807,17061.82347,18006.40788,18573.51624,19741.54209,21057.12409,22091.71883,22570.47124,23240.11992,23817.90868,24546.96731,24163.5603,...,...
73,Liberia,755.1006695,819.1333437,926.4641351,983.0260105,1034.062504,1099.739429,1184.423689,1284.149554,1397.612473,1407.321023,1407.420523,1384.478585,1418.656222,...,...
74,Libya,44087.2,46583.6,48898,50228.7,49854.3,...,...,...,...,...,...,...,...,...,...
75,Madagascar,5897793.985,6216186.891,6615266.31,7091999.348,6756812.995,6774586.348,6873124.328,7081204.022,7240899.622,7480997.293,7714151.156,8036601.921,8371792.093,...,...
76,Malawi,732390.1672,766812.505,840426.5055,904632.8783,979971.702,1047335.6,1098173.847,1118883.204,1177065.131,1244157.843,1280860.5,1309936.033,1362333.474,...,...
77,Malaysia,729820,770576,819115,858696,845697,909361,957498,1009908,1057310,1120819,1176941,1229312,1299898,1361532,...
78,Maldives,29865.61578,37567.36295,40621.75345,44487.75666,41538.88339,44485.21826,48235.6408,49387.3419,52983.27083,56866.74646,58507.09541,62771.7866,67110.38067,72153.19485,...
79,Mali,2972426.682,3111006.768,3219693.424,3373374.062,3535509.291,3723383.966,3843021.274,3810869.502,3898663.054,4175523.584,4433048.133,4688571.906,4942623.74,5172484.738,...
80,Marshall Islands,139.8113769,145.3946457,141.9760608,139.4639698,149.3044727,150.1096257,154.557763,158.9584736,158.1395425,157.1661429,160.370147,166.1775357,170.2791809,...,...
81,Mauritania,529441.9761,629342.9085,647076.7644,654064.981,647249.0895,678146.801,710047.2777,751195.0725,796945,841410.6804,844455.8684,859822.0775,889583.3833,...,...
82,Mauritius,204225.9469,...,226301,238590,245970,256069,266093,274326,298034,309183,319907,331892,...,...,...
83,Mexico,13887072.52,14511307.25,14843825.98,15013577.68,14219998.38,14947794.7,15495333.6,16059723.65,16277187.08,16733654.77,17283855.93,17786910.59,18163652.49,18551620.03,...
84,Micronesia,245.5203912,245.2044557,240.4829675,235.1463135,237.97003,245.7841708,248.2116336,244.0783366,236.6486809,230.9362807,239.4754816,246.7581965,251.8110946,...,...
85,Moldova,...,...,...,...,...,71885.47421,76784.87468,76221.74291,83386.76863,87383.20253,87008.98931,90898.43965,111356.816,...,...
86,Mongolia,7319776.391,7917283.625,8610580.558,9283835.818,9091707.978,9756588.44,11443578.41,12853406.64,14350689.2,15482273.4,15850726.1,16035924.9,16886096.5,...,...
87,Morocco,581401.0528,625440.0408,647530,685885,714992.2949,742274.384,781211.8513,804726.0254,841223.7643,863680.1816,902973.3291,912542.7716,950878.141,978978.3259,...
88,Mozambique,223858.4513,245910.8715,264171.7322,282337.3845,300269.9194,320350.82,343152.543,367853.502,394123.0625,423462.1758,451384.8516,468371.7521,485874.8858,...,...
89,Myanmar,25737544.07,29162408.09,32807851.68,35287595.69,36835107.74,38767719.49,40888820.3,43540768.6,46979910,50832186.55,54630719.85,57444492,61082879.7,65251758.7,...
90,Namibia,34221.9482,35572.86185,36869.88267,37846.86525,37958.88097,40251.3125,42300.64291,44441.76698,46937.04841,49918.3371,52956.5541,53551.3483,53086.58679,53046.94307,...
91,Nepal,497738.9582,514485.6328,532038.155,564516.8972,590107.2008,618529.1468,639694.0804,670279.3569,697954.2333,739754.358,764335.6958,768835.1757,832060.3324,887455.0209,950033.0379
92,New Zealand,180183,185148,192456,191638,192293,196106,199828,204951,209451,216036,224679,234046,240259,246945,...
93,Niger,1554015.371,1644250.805,1696302.161,1859987.482,1846747.86,2001135.956,2045349.945,2287720.216,2408246.991,2589564.446,2701857.201,2834976.018,2973735.944,3166475.31,...
94,Nigeria,37474949.16,39995504.55,42922407.93,46012515.31,49856099.08,55469350.7,58180353.1,60670051.8,63942847.3,67977460.1,69780693.1,68652431.2,69205692.2,70536349.6,...
95,Oman,17024.9,17939.7,18738.4,20275.1,21514.3,21935.1,22497.8,24546.1,25798.8,26165.9,27384.8,28725.7,28825.1,29333.6,...
96,Pakistan,7291536547,7715777000,8142969000,8549148000,8579987000,8801393700,9120336000,9470255000,9819055000,10217056000,10631649000,11116802000,11696934080,12343500000,...
97,Palau,261.5846094,257.6739531,261.1345156,246.5507031,231.11975,231.7877188,243.0655625,247.5412031,244.0404844,254.7134063,280.376125,282.6098438,272.6678125,277.3181563,...
98,Panama,17500.73225,18995.39432,21295.984,23394.843,23685.638,25066.035,27901.912,30630.392,32744.942,34404.001,36376.276,38182.89,40214.68132,41693.38988,...
99,Papua New Guinea,32594.50418,33342.38271,37041.26467,36930.66047,39444.3592,43437.97685,43918.97031,45960.50882,47720.76467,55080,57998.682,58922.24448,60422.24758,...,...
100,Paraguay,117031206.1,122657033.3,129307035.1,137529825.6,137175038,152461461.8,158939718.6,158083807.6,171390504.7,179721609.2,185257707,193247696,202829015.9,210378210,...
101,Peru,273971,294598,319693,348923,352584,382380,407052,431274,456449,467376,482676,502214,514639,535179,...
102,Philippines,4481279.173,4716230.864,5028287.933,5237100.504,5297239.816,5701539.185,5910201.357,6305228.511,6750631.383,7165477.851,7600175.069,8123375.304,8665818.041,9206888.993,...
103,Qatar,124166.2669,156662.0359,184839.3956,217488.2074,243491.8148,284225.7167,321128.6977,342247.4546,360047.1962,378112.2223,403085.2978,428120.7846,458559.8397,488240.652,...
104,Russia,66777600,72222400,78386600,82500200,76047800,79472800,83499000,86551700,88096900,88747600,86237700,85188072.3,86260418.8,...,...
105,Rwanda,2775000,3031000,3262000,3626000,3853000,4135000,4459000,4852000,5079000,5466000,5951000,6307000,6692000,...,...
106,Samoa,1642.045605,1677.056145,1685.206277,1745.133956,1639.345469,1607.164713,1696.405593,1703.856099,1670.949527,1690.935843,1718.6,1841.4,1886.9,...,...
107,San Marino,1575.237813,1635.508834,1751.682109,1780.452445,1564.705187,1490.117025,1351.34024,1248.557244,1209.138851,1197.928357,1205.031065,1231.508034,1254.404583,...,...
108,São Tomé and Príncipe,722669.1621,788495.0857,793098.3947,857016.0049,891402.7462,931217.4848,975584.1884,1019443.288,1063302.387,3630348.485,3769027.38,3926542.922,4078694.898,...,...
109,Saudi Arabia,1731006.5,1779273.923,1812139.43,1925394.027,1885745.366,1980777.202,2178792.46,2296696.613,2358690.305,2444841.037,2545236.206,2587757.552,2565591.097,2625462.446,...
110,Senegal,7067979.072,7241962.343,7599605.573,7907874.129,8073348.537,8360981.389,8482916.995,8917021.3,9168669.062,9775039,10397420,11045018.1,11835155.16,...,...
111,Seychelles,5127.979405,5610.32373,6194.789121,6062.188715,5995.069303,6351.501992,6693.12694,6939.404599,7357.02326,7690.361662,8068.049435,8431.35625,8876.938503,...,...
112,Sierra Leone,5357245.707,5583531.174,6033470.07,6359258.014,6561915.415,6912759.03,7349092.501,8464551.702,10218410.48,10683827.17,8494956.228,9029893.716,9361581.148,...,...
113,Singapore,232772.5,253396.6,276484.9,281427.4,279729.3,322361.1,342833.2,356832.1,375070.1,389637.4,398369.4,407918.4,422679.1,...,...
114,Solomon Islands,3070.4,3193,3397,3638.4,3466,3702.001499,4190.503934,4381.397858,4513.625629,4615.182547,4732.511609,4884.943319,5065.374474,5260.63006,...
115,Somalia,...,...,...,...,...,...,3776.024545,3821.33684,3892.402685,3984.019529,4121.865287,4241.154574,4299.902698,4420.299973,...
116,South Africa,2359099,2491295,2624840,2708600,2666939,2748008,2838258,2901076,2973292,3023826,3063101,3071658,...,...,...
117,South Sudan,...,...,...,26896,28252.2,29804,32502.37242,15461.64444,19996.42987,20580.02524,20544.43121,17682.01553,16771.39899,...,...
118,Sri Lanka,4707254.533,5068220.366,5412695.902,5734756.079,5937701.629,6413668,6952720,7588517,7846202,8235430,8647833,9035830,9344839,9644729,...
119,St. Kitts and Nevis,1686.39,1739.92,1745.99,1857.18,1794.72,1822.13,1880.65,1798.09,1912.65,2050.64,2083.34,2121.78,2140.98,2239.27,...
120,St. Lucia,2884.65,3068.255515,3130.39806,3283.399737,3235.223004,3248.2738,3382.834617,3370.158286,3303.515625,3347.729672,3355.409144,3461.16668,3549.430809,3579.860379,...
121,St. Vincent and the Grenadines,1332.746326,1413.213298,1456.507599,1448.559309,1419.589456,1386.503221,1389.92892,1408.009433,1443.080329,1446.640296,1458.545951,1470.740223,1481.316404,...,...
122,Sudan,20344.3,21673.07,22916,23797.52,23581.97286,23912.77988,23342.72391,19154.62553,19868.49583,20821.04823,21090.34845,21721.88149,22029.18625,...,...
123,Suriname,7251.288,7669.47,8060.53,8394.991,8648.293,9094.81,9626.583,9886.206,10175.9628,10201.8098,9936.66207,9425.992345,9605.086199,...,...
124,Syrian Arab Republic,1156714,1215082,1284035,1341515,1420832,1469703,...,...,...,...,...,...,...,...,...
125,Tajikistan,116.5904086,124.7517372,134.4822566,145.1063549,150.7655027,160.5652604,172.4470897,185.3806214,199.0987874,212.4384061,225.2,240.7,257.8,276.6341536,...
126,Tanzania,51171980.7,53556887.19,58090146.49,61323789.86,64624448.52,68733843.58,74166915.45,77979846.68,83268117.23,88874110.99,94349315.55,100828392.7,107657404.9,115140194.2,...
127,Togo,1256277,1289570,1274416,1326186,1399629,1484996,1580009,1683397,1786292,1892051,2000709,2102745.159,2195265.946,...,...
128,Tonga,723.25,705.3,693.0854616,705.5452164,728.6120408,752.7851269,767.5937124,759.4723065,755.0312355,775.2515298,803.412499,841.1393722,863.875874,876.5868874,...
129,Trinidad and Tobago,138052.674,157630.5368,164337.8323,169738.0289,161551.0608,167142.5714,166822.1185,163902.2155,168327.1201,166327.4255,169177.7889,158899.1801,154772.6136,...,...
130,Tunisia,50499.22,53147.47,56713.4,59116.79,60915.98,63054.81,61845.65,64318.01,66167.5,68133.7,68919.5,69683.4,71046,...,...
131,Turkmenistan,34983.12472,38819.75736,43112.1262,49470,52504,57313.21366,65749.64177,73015.52369,80435.97818,88758.00906,94485.16317,100343.2433,106835.0858,...,...
132,Tuvalu,28.38852845,29.20918652,31.06303917,33.53535583,32.06583958,31.07485663,33.52666954,32.24074591,33.71628932,34.17075923,37.29496165,38.42684547,39.67248591,...,...
133,Uganda,53973484.19,57778270.14,62437428.28,68948400.57,74511733.52,80224000,85430500,88600000,92463000,97223000,102064000,106482500,111857500,118945500,...
134,United Arab Emirates,944528.364,1037386.29,1070907.07,1105333.255,1047539.818,1064244.42,1137999.332,1189033.745,1249119.566,1304065.352,1370111.917,1411056.802,1422345.257,...,...
,US,,,,,,,,,,,,,19519423,,
135,Uruguay,425018.4481,442438.158,471380.2981,505207.2302,526645.6696,567741.9887,597049.5854,618174.2667,646842.3372,667792.21,670267.9913,681594.1675,699256.5809,710585.1222,...
136,Uzbekistan,95863786.9,103053570.9,112843660.2,122999589.6,132962556.3,144231088.2,156175302.1,168950053.6,182510067.6,195613175.3,210183364.6,222992622.5,232941723.1,244898590,...
137,Vanuatu,44819,48613,51128,54425,56228,57144,57843,58858,60017,61400,62385,63632,66304.544,...,...
138,Venezuela,46523.649,51116.533,55591.059,58525.074,56650.924,55807.51,58138.269,61409.103,62233.885,59810.257,56089.239,46859.923,...,...,...
139,Vietnam,1588645953,1699501269,1820667101,1923749392,2027590911,2157828497,2292483366,2412778384,2543596183,2695795691,2875856192,3054470219,3262547629,3.49E+12,...
140,West Bank and Gaza,...,...,...,...,...,...,11298.87268,12008.92055,12275.20902,12252.8815,12673,13269.7,13686.4,...,...
141,Yemen,315466.423,325468,336333.5147,348601.5133,362079.2479,389967.7033,340383.7119,348529.0608,365340.4265,364651.0648,303832.8714,262446.4031,246850.9993,...,...
142,Zambia,64043.73163,69105.55246,74877.5497,80698.4524,88139.13089,97215.91537,102625.5945,110422.6697,116007.2862,121456.9943,125003.5145,129699.9381,134104.7841,...,...
143,Zimbabwe,9993.444861,9638.068055,9310.304387,7790.597415,10735,12847,14670,17115,17455,17870,18188,18326,19188,...,...
